Location,Tags,Wikipedia,City,Hot Score,Comment,Rating,Link,Activity
Sita Gufa,Caves,The Sita Gufa also spelt as Sita Gumpha or Sita Gupha is an important location associated with the Ramayana an epic tale crucial to the narrative of modern Hinduism It essentially translates to the Cave of Sita who was the wife of Rama the protagonist of Ramayana and heir apparent to the throne of Ayodhya Rama is sentenced to a 14year exile into the jungles and he eventually spends many years in Panchavati a region in what is now Nashik Maharashtra Within this place is the Cave of Sita where it is said that the evil king of Lanka Ravana kidnapped SitaThe cave today is a popular place for pilgrims who travel to Panchavati to get closer to the legend of the Ramayana Located near the five sacred banyan trees in the area you can enter the cave through the narrow staircase leading into it Once inside you will find an idol of Sita along with Rama and his brother Lakshman To the left there is a cave with a Shiva Linga,Nashik,2.0,"""A good place to relieve stress. Not as amazing as Marine Drive, but a good clean site for a lot of people and joggers living around. It's also common to see events happening here. On a recent day, however, construction of coastal roads and metro lines in Mumbai blocked some areas of the area.""",4//5,https://us.trip.com/travel-guide/attraction/nashik/sita-gufa-56016947/,['']
Bhawani Mata Temple,Temples,Tulja Bhavani Temple is a Hindu temple dedicated to goddess Bhavani goddess Parvati also referred to as Durga and Sati It is located in Tuljapur in Dharashiv district of Maharashtra India and is considered as one of the 51 Shakti Pithas It is situated 45 km from Solapur The temple was built in 12th century CE by Maratha Mahamandaleshwara Mradadeva of the Kadamb dynasty The management and priestly rights of the temple are held by the Palikar Bhope clan the descendants of Mradadeva Goddess Tulja Bhavani is known by the names Tulaja Turaja Tvarita Durga Parvati Tripura Sundari BhagawatiAmba Mother of the Vedas and Jagadambaa Mother of the Universe in different regions,Mumbai,1.2,"""a good place to visit""",4//5,https://us.trip.com/travel-guide/attraction/mumbai/bhawani-mata-temple-23033180/,['The BhawaniMata Temple is the Devi Temple in Gorego An and is an example of modern temple architecture. The temple has many works of art showing scenes from epic Indian wars.']
Jogger's Park,City Parks,Joggers Park is a seaside jogging track along with a park in Bandra Mumbai It is situated at the southern end of the Carter Road The park was opened to the public on 27 May 1990 and receives more than 2000 visitors on weekdays and double the number on Sundays1 Its jogging track is 400 metres long It features a mud strip for running and two paved tracks for walking or jogging2Development of the park is credited to the citys veteran hockey coach and former corporator Oliver Andrade3 Andrades effort to rope in films star Dilip Kumar and Sunil Dutt transformed the site from a dumping ground into a jogging track The movie stars fund raising efforts led to financial assistance from the Rahejas the Lokhandwalas and the Rizvi builders at a cost of 4 crore4 In his memory a plaque at the entrance of the park reads From Sir with Love Mumbais first laughter club was launched at Joggers Parkcitation neededOn 11th Feb 2022 the BMC passed a proposal to rename the Joggers Park as Sir Oliver Andrade Park5,Mumbai,1.3,"""A great place to relax, jog and refresh. Ample parking and on the beach. Of course suitable for all who like to relax and stay healthy. Best place to go with family and friends. Free entry-exit. N open all day with no time limit. Everyone can enjoy n enjoy n eat a lot of things in it""",4//5,https://us.trip.com/travel-guide/attraction/mumbai/jogger-s-park-58270327/,['']
Nehru Science Center,Historical Sites,Nehru Science Centre NSC is the largest interactive science centre in India It is located in Worli Mumbai The centre is named after Indias first Prime Minister Jawaharlal Nehru In 1977 the centre started with the Light and Sight exhibition and then in 1979 a Science Park was built On 11 November 1985 it was opened to the public by Rajiv Gandhi the then Prime Minister of India23Nehru Science Centre WorliIn 1977 Nehru Science Centre conceived as a Science  Technology Museum in late sixties took final shape as Indias largest interactive science centre to match the world trends in such public institutions The centre opened its first semipermanent exhibition Light  Sight in 1977 followed by the worlds first ever Science Park in 1979 during the International Year of the child On 11 November 1985 the fullfledged science centre was finally opened to public by Prime Minister Rajiv GandhiNehru Science Centre the largest Science Centre in the country has a sprawling 8 acres 32000 m2 of science park with varieties of plants trees and shrubs More than 500 handson and interactive science exhibits on energy sound kinematics mechanics transport etc are installed in the park The NSC building with its unique architecture houses several permanent science expositions on various themeNational Council of Science Museums NCSM the parent body of Nehru Science Centre Mumbai with its 25 science centres  museums all over the country has the best infrastructure and skilled manpower to conceptualise design develop and organise high quality science exhibits and other related educational programmes and activitiesThe centre is one of the four national level science museums in NCSM working as the Western Zone Headquarters with five science centres in Nagpur Calicut Bhopal Dharampur and Goa under its umbrella caters to the people in the Western part of India As a part of its activities the centre organises regular extensive science education programmes activities and competitions for the benefit of the common people and students in particular,Mumbai,1.7,"""A magnificent living temple with lots of animation around! Be careful with many begbes but the vendors don't sell anything, but they are everywhere on the busy streets! The city of Mumba Devi is named after Mumba Devi, a temple dedicated to the goddess, which is a good reason to visit the temple.""",4//5,https://us.trip.com/travel-guide/attraction/mumbai/nehru-science-center-23029492/,['']
Taraporevala Aquarium,Science & Technology Museums,Taraporewala Aquarium or Taraporevala Aquarium is Indias oldest aquarium and one of Mumbais main attractions3 It hosts marine and freshwater fish The aquarium is located on Marine Drive The aquarium has a 12foot long and 180 degree acrylic glass tunnel45 The fish are kept in large glass tanks which will be lit with LED lights3The aquarium hosts 2000 fish across over 400 species Fish from overseas were introduced at the new aquarium The number of new varieties of 70 marine fish included Helicopter Arowana Grouper yellowstriped tang bluespotted stingray sea stars clownfish hark triggerfish Moorish idol3 Azure Damsel Blueline Demoiselle Purple Firefish Cloudy Damsel Copperband Butterflyfish Schooling Bannerfish Raccoon Butterflyfish White Tail Trigger Clown Triggerfish and Blue Ribbon Eel The 40 new varieties of freshwater fish include Red Devil Jaguar Electric Blue Jack Dempsey Frontosa and Catfish These fishes will be housed in larger tanks than before with imported flexi glass for better visibility6 The aquarium continues to support sharks turtles rays moray eels sea turtles small starfish and stingraysThe aquarium is maintained by the Department of Fisheries The aquariums 16 seawater tanks and 9 freshwater tanks host 31 types of fish while 32 tropical tanks contains 54 kinds of fish1 The tropical section of the aquarium features ecosystems such as the moss aquarium for pregnant fish plantation aquarium that features imported varieties of water lilies and other aquatic plants and island aquarium,Mumbai,1.7,"""A must-visit place with children and adults. Many laws of physics, atmosphere, liquids and other sciences are well explained by games, consoles and instruments. It includes not only the science section but also Indian culture, human and animal history, nuclear science, sound and music, for a variety of educational performances in the dome theatre and parks. It would be even better if you spent a whole day visiting the entire centre. On our evening return, we also had the opportunity to observe Venus through a woman-operated telescope that was enough for children to see. All in all, it was a wonderful experience, at a nominal cost of Rupee.""",4.1//5,https://us.trip.com/travel-guide/attraction/mumbai/taraporevala-aquarium-58270365/,['']
Ozarkhed Dam,Water Conservancy Projects,Ozarkhed Dam is an earthfill dam on Unanda River near Dindori Nashik district in the state of Maharashtra in India It was constructed in Krishnagaon village which was later moved near Vani The dam has a canal from which the water is released for irrigational purposes for the east region of  Nashik district The height of the dam above lowest foundation is 353m 116ft while the length is 3266m 10715ft The volume content is 2052km3 492cumi and gross storage capacity is 6795000km3 1630207cumi2Its water is used for various purposes for the Vani village and the other 30 villages of Chandwad taluka of Nashik district It is also used for irrigational purposes for the nearby villages,Nashik,1.0,"""A place I like very much, although there are few people in the remote area, it has a unique taste""",5//5,https://us.trip.com/travel-guide/attraction/nashik/ozarkhed-dam-58298691/,['']
Aai Museum,Museums,Made amidst our favourite Fort Jadhavgadh Aai Museum is the ideal place to take a tour of our rich heritage It houses artifacts dating back to the 17th and the 18th century that are collected by Dr Kamat painstakingly If youre keen to know how the royals dined or how they kept their secrets this place is for you From historic kitchen items to ornate doors and war ammunition it definitely showcases a wide range of artifacts One prominent piece on display is that of the worlds largest lock without a key hole and 7 keysMost of the artifacts have been revived from the forts horse and elephant stable houses One of the centerpieces of the museum is an erstwhile palanquin made of elegant teak wood wrapped in red and white cloth Theres an assortment of iron and bronze dagger holders in intricate designs We also found a big diwan with bolster pillows in the side Another side of the Aai Museum is dedicated to wooden bullock carts alloy showpieces a wellpolished royal poster bed and more,Mumbai,2.1,"""A small daily-life handicrafts exhibition, run by the owner of the Orchid Hotel, takes only 20 minutes to see the entire series, but it's worth it. If you stay at the Orchid Hotel, the museum is on the first floor and opens from 10am to 5pm.""",4//5,https://us.trip.com/travel-guide/attraction/mumbai/aai-museum-23033994/,['']
Mhalsapati's House,Other Places of Worship,Mhalsapatis house is a historic site located in the town of Shingnapur in the Ahmednagar district of Maharashtra India The house is believed to have been the residence of Mhalsapati a saint and devotee of Lord Vithoba who is said to have played a key role in the life of the revered saint and poet Sant TukaramMhalsapatis house is a simple traditional dwelling made of stone and mud with a thatched roof and a courtyard in the center The house has a small prayer room where devotees can offer their prayers and seek blessings from the saint The house also contains a few personal belongings and artifacts associated with Mhalsapati including his wooden sandals a copper vessel and a few old manuscriptsThe house is located in a peaceful and serene environment surrounded by fields and small temples dedicated to various deities It is a popular destination for devotees and tourists seeking spiritual solace and a glimpse into the rich cultural and religious heritage of MaharashtraMhalsapatis house is open to visitors throughout the year and there is no entry fee However visitors are expected to dress modestly and maintain decorum while inside the house The house can be reached by road and is situated at a distance of about 75 km from the city of Ahmednagar and about 210 km from Mumbai,Shirdi,1.0,"""A very desolate temple, not a tourist attraction.""",3.5//5,https://us.trip.com/travel-guide/attraction/shirdi/mhalsapati-s-house-62043168/,['']
Venna Lake,Stadiums,Venna Lake is one of the tourist attractions of Mahabaleshwar in Maharashtra state in India The lake was constructed by Shri Appasaheb Maharaj who was Raja King of Satara in 18421The lake is surrounded by trees Tourists can enjoy a boat ride over the lake or a horse ride next to the lake A number of small eateries line the banks of the lake The Mahabaleshwar city market and the ST bus stand is about 2km 12mi from the lake,Mahabaleshwar,2.5,"""A very modern stadium that hosts many big sporting events in Mumbai.""",5//5,https://us.trip.com/travel-guide/attraction/mahabaleshwar/venna-lake-23490922/,['']
Kulaba Fort,Factories,Kolaba Fort located at Alibag beach is an old fortified maritime base in Alibag Konkan India It is situated in the sea at a distance of 12 km from the shores of Alibag 35 km south of Mumbai in the Konkan region of Maharashtra India It is a popular tourist destination and a protected monument,Raigad,1.4,"""A very quiet place, the area is pollution-free and the lake is surrounded by greenery. It takes about fifteen minutes to walk from the entrance to the lake. If you want to see different birds and sika deer, you can go in the early morning or late afternoon and at no cost.""",4.7//5,https://us.trip.com/travel-guide/attraction/raigad/kulaba-fort-50529346/,['']
Sambhaji Maharaj Samadhi,Historical Sites,This is historic place of sad and brutal killing of Chhatrapati Sambhaji maharaj by Aurangajeb He was brutally tortured and killed at Vadhu and pieces were thrown in the river which were collected at Tulapur and last riots performed This place also had tula weighment by virtue of elephant in boat in river and then all goods were given away to people 3 rivers meet here Indrayani Bhama and Bhima which has beautiful view There are small temples at river bank Boating facility is available This place can be reached by bus from either Wagholi or Alandi,Pune,1.3,"""A wildlife sanctuary with a very famous tiger, now one of the most noble tigers in central India, has become a major attraction for wildlife lovers and wildlife photographers due to the potential in biodiversity and tiger observation.""",4.5//5,https://us.trip.com/travel-guide/attraction/pune/sambhaji-maharaj-samadhi-38699193/,['']
Lingmala Waterfall,Waterfalls,Situated between Mahabaleshwar and Pune Lingmala Waterfall is one of the most breathtaking waterfalls in the country Known for its tranquil atmosphere and gorgeous panorama the waterfall originates approximately 600 feet above a cliff and is engulfed by lush greenery Set next to the Lingmala Forest Bungalow the waterfall is a brilliant spot for a daybreak from all the hustle and bustle of your daily city life Interestingly Lingmala Waterfall also offers you a picturesque view of Dhobi Waterfall as well as Chinamans Waterfall which makes it a fabulous spot for nature lovers and photography enthusiasts The waterfalls are divided into two levels  the lower deck and the upper deckThe lower deck has the mini waterfall which is perfect for swimming and splashing around since it is much safer The upper deck however is dangerous for any such activities and is accessible after a 30minutes trek from the mini waterfall Though getting to the actual waterfall is not possible because of the difficult path it makes for an adventurous trek and a splendid experience,Mahabaleshwar,2.0,"""Agpur Central Museum, built with a history of more than 150 years. Very much content. Tickets 5 rupees, regardless of India or crooked nuts at the same price, real national treatment. Great. [View]""",4//5,https://us.trip.com/travel-guide/attraction/mahabaleshwar/lingmala-waterfall-23490931/,['']
Mahalaxmi Temple,Libraries,Mahalakshmi Temple or Mahalaxmi Temple may refer to,Kolhapur,2.5,"""Aiso World is one of Mumbai's most famous playgrounds and India's largest entertainment and water park. On sixty-four acres of land, about one hundred and eighty million visitors a year have been renovated and have been given new amusement facilities, a place with cafes and food courts.""",4.4//5,https://us.trip.com/travel-guide/attraction/kolhapur/mahalaxmi-temple-23490135/,['']
Gandharv Farm & Resorts,Farms,Gandharv Water Park in Kolhapur offers a wide range of thrilling water rides including a unlimited food  giant water slides and many more providing an exhilarating experience for all ages Additionally the park boasts lush green surroundings and a serene atmosphere making it a perfect destination for a funfilled day out with family and friends,Kolhapur,1.1,"""All of the places adjacent to Thane Tane Bay are flamenco protected areas. In this area, wherever you go, you can see flamenco, and there are many signs called flamenco city. The closest place to see flamenco is Nerul & Seawoods Neru and Seawood area.""",5//5,https://us.trip.com/travel-guide/attraction/manpadle/gandharv-farm-and-resorts-55853089/,['']
HIGH COURT OF BOMBAY,Bridges,The High Court of Bombay is the high court of the states of Maharashtra and Goa in India and the union territory of Dadra and Nagar Haveli and Daman and Diu It is seated primarily at Mumbai formerly known as Bombay and is one of the oldest high courts in India1 The High Court has circuit benches at Nagpur and Aurangabad in Maharashtra and Panaji the capital of Goa1The first Chief Justice the Attorney General and Solicitor General of Independent India were from this court Since Indias Independence 22 judges from this court have been elevated to the Supreme Court and 8 have been appointed to the office of Chief Justice of India2The court has Original Jurisdiction in addition to its Appellate Judgements issued by this court can be appealed only to the Supreme Court of India The Bombay High Court has a sanctioned strength of 94 judges 71 permanent 23 additional3 The building is part of The Victorian and Art Deco Ensemble of Mumbai which was added to the list of World Heritage Sites in 2018As of 2022 the Court is currently understaffed with only 57 judges as against the permitted number of 96 judges,Mumbai,4.1,"""Although it is relatively new compared to other landmarks in Mumbai, it is already very well known. It shortens the traffic time between the suburbs to the south of Mumbai. Although the toll is high. Driving through the Worli Sea Bridge, how beautiful the scenery along the way. It looks fantastic. The bridge is over the sea, with the skyscrapers of Mumbai on one side and the sea on the other.""",4.5//5,https://us.trip.com/travel-guide/attraction/mumbai/bandra-worli-sea-link-22878565/,"['The Bandra-Worli sea-crossing bridge opened in 2010, with a total length of 5.6 kilometers, 8 lanes, and two pylons up to 128 meters. The bridge is a graceful arc, connecting north and south Mumbai across the Arabian Gulf. The bridge, the buildings in the distance and the beautiful sunrise and sunset attract many photographers.']"
Numismatic Art Gallery by Twentieth Century Coins,Museums,Numismatic Art Gallery is Indias Biggest ShowroomcumMuseum of World Coins  Currency Notes  Stamps  Bollywood Posters  Lobby Cards  Medals  Curio  Clocks  Gramophones  etc On Display you will find hundreds of original old Bollywood Posters coins and currencies from over 270 countries Ancient Indian Coins over 2600 years old New Indian Commemorative coins like Rs 75 Rs 100 Rs 150 and 1000 Rupees Indian coins Established in 1977 A unit of Twentieth Century CoinsR,Nagpur,1.1,"""Although not well maintained, they are still well suited for exercise. There is a jogging track about two kilometres in this park where you can see many people walking in the evening. There are also yoga classes for interest. If you are a nature lover, the best time is at sunset, when the birds return to their nests.""",3.5//5,https://us.trip.com/travel-guide/attraction/nagpur/numismatic-art-gallery-by-twentieth-century-coins-23487079/,['']
Della Adventure Park,Theme Parks,Della Adventure Park is an Indian amusement park located in the state of Maharashtra It was started in 2013 by the Della Group and is spread across 36 acres in Kunegaon Lonavala1 In addition to over fifty recreational activities including adventure sports and glamping activities the park also houses Della Resorts a resort with hotels villas and five restaurants23According to Conde Nast Traveller India it is Indias largest recreation park4,Kune N.m.,3.4,"""Although the museum is not big, the exhibits reflect some local culture of Pune, as well as some living utensils in India, which is very helpful for understanding Indian culture and Indian history. Foreigners 20 yuan a ticket.""",3.9//5,https://us.trip.com/travel-guide/attraction/kune-nm/della-adventure-park-58274373/,['']
Indian Institute of Scuba Diving & Aquatic Sports,Campgrounds,Indian Institute of Scuba Diving and Aquatic Sports IISDA is Indias first integrated Scuba diving school located next to the Tarkarli Beach giving breathtaking view of Arabian Sea It has dedicated scuba training pool with max depth of 25 ft class rooms has modern audiovisual system and are air conditioned It has sea view resort and pool sidesea view Rest O Bar Beach volleyball and Tennis court also adds of as other recreational activities Sindhudurg coast has good rocky islands nearby such as legandary Burnt Island or Light house which provides some of the best diving sites of on western coast of India,Devbag,1.3,"""An old temple that looks like a fortress. There is a beautiful lake near this temple. You can go there by boat or to the Jain temple in the town. Considered a resting place for Lord Roma during exile, the site also has Jain statues, and is therefore important to both Hindus and Jainites.""",3.5//5,https://us.trip.com/travel-guide/attraction/devbag/indian-institute-of-scuba-diving-and-aquatic-sports-61812939/,['']
Shikhar Shingnapur,Historical Sites,Shikhar Shingnapur is a small village located in the Satara district of Maharashtra India It is known for the Shikhar Shinganapur Temple which is dedicated to Lord Shiva The temple is believed to be more than 350 years old and is considered as one of the most important pilgrimage sites in the region The main attraction of the temple is the huge shivalinga which is believed to be selfmanifested The village is also known for its unique tradition of not having any doors or locks in the houses as the villagers believe that Lord Shani the Hindu god of the planet Saturn protects their village,Satara,1.0,"""Ancient fortress of war, now slums.""",3//5,https://us.trip.com/travel-guide/attraction/satara/shikhar-shingnapur-62054948/,['']
